mm_Lead__c,mm_Contact__c,mm_Stage__c,mm_Start_Date__c,Lead_Contact_Source__c,CreatedDate
" ","003V50000067coLIAQ","MQL","2025-05-19","Events","2025-05-19T18:07:39.000+0000"
" ","003V50000067ldMIAQ","MQL","2025-05-19","Events","2025-05-19T18:07:39.000+0000"
" ","003V500000681ldIAA","MQL","2025-05-19","memoryBlue","2025-05-19T18:07:39.000+0000"
"00QV500000FH91SMAT"," ","MQL","2025-05-19","Events","2025-05-19T18:23:55.000+0000"
"00QV500000JVitbMAD"," ","MQL","2025-05-19","Events","2025-05-19T18:07:42.000+0000"
"00QV500000JVitcMAD"," ","MQL","2025-05-19","Events","2025-05-19T18:07:42.000+0000"
"00QV500000JVitdMAD"," ","MQL","2025-05-19","Events","2025-05-19T18:07:42.000+0000"
"00QV500000JViteMAD"," ","MQL","2025-05-19","Events","2025-05-19T18:07:42.000+0000"
"00QV500000JVitiMAD"," ","MQL","2025-05-19","Events","2025-05-19T18:07:42.000+0000"
"00QV500000JVitlMAD"," ","MQL","2025-05-19","Events","2025-05-19T18:07:42.000+0000"
"00QV500000JVitoMAD"," ","MQL","2025-05-19","Events","2025-05-19T18:07:42.000+0000"
"00QV500000JVittMAD"," ","MQL","2025-05-19","Events","2025-05-19T18:07:42.000+0000"
"00QV500000JVituMAD"," ","MQL","2025-05-19","Events","2025-05-19T18:07:42.000+0000"
"00QV500000JVitwMAD"," ","MQL","2025-05-19","Events","2025-05-19T18:07:42.000+0000"
" ","003V500000L3ryBIAR","MQL","2025-05-19","Bing Natural Search","2025-05-20T00:38:08.000+0000"
" ","003V50000067TvyIAE","MQL","2025-05-22","Events","2025-05-22T11:27:04.000+0000"
" ","003V500000GlhgDIAR","MQL","2025-05-22","Google Ad","2025-05-22T17:06:24.000+0000"
" ","003V500000BGSOdIAP","MQL","2025-05-22","Sales","2025-05-22T17:05:34.000+0000"
"00QV5000006N72tMAC"," ","MQL","2025-05-22","Webinar","2025-05-22T19:30:57.000+0000"
"00QV500000JgBKNMA3"," ","MQL","2025-05-22","LinkedIn Ad","2025-05-22T21:32:40.000+0000"
" ","003V50000067JQgIAM","MQL","2025-05-27","Events","2025-05-27T07:19:55.000+0000"
"00QV500000ECYaXMAX"," ","MQL","2025-05-27","Webinar","2025-05-27T16:52:03.000+0000"
"00QV500000I4K7bMAF"," ","MQL","2025-05-28","Social Media - Organic","2025-05-28T14:26:27.000+0000"
"00QV500000JxXbKMAV"," ","MQL","2025-05-30","Website","2025-05-30T06:34:10.000+0000"
" ","003V50000067TvuIAE","MQL","2025-05-30","Events","2025-05-30T07:15:49.000+0000"
"00QV500000JyrmbMAB"," ","MQL","2024-01-02","Website","2025-05-30T07:12:54.000+0000"
" ","003V500000I7JtCIAV","MQL","2025-05-30","Website","2025-05-30T10:08:18.000+0000"
"00QV500000KTNNVMA5"," ","MQL","2025-06-11","memoryBlue","2025-06-11T19:56:33.000+0000"
" ","003V50000067zPuIAI","MQL","2025-06-13","Marketing Research","2025-06-13T20:37:52.000+0000"
"00QV500000KASKUMA5"," ","MQL","2025-06-16","Bing Natural Search","2025-06-16T20:06:06.000+0000"
" ","003V500000Pg2QRIAZ","MQL","2025-06-17","Google Natural Search","2025-06-17T13:44:40.000+0000"
"00QV500000KRlyeMAD"," ","MQL","2025-06-17","Events","2025-06-17T14:21:18.000+0000"
"00QV500000KRxmrMAD"," ","MQL","2025-06-17","Events","2025-06-17T14:19:18.000+0000"
" ","003V500000NpmF5IAJ","MQL","2025-06-19","Google Natural Search","2025-06-19T17:58:12.000+0000"
" ","003V50000067k9IIAQ","MQL","2025-06-20","Events","2025-06-20T15:43:01.000+0000"
"00QV500000KIkNRMA1"," ","MQL","2025-06-23","Website","2025-06-23T17:54:07.000+0000"
"00QV500000L2VDMMA3"," ","MQL","2025-06-23","Partner","2025-06-23T19:50:35.000+0000"
"00QV500000KqTiOMAV"," ","SAL","2025-06-25","Partner","2025-06-25T14:45:32.000+0000"
" ","003V500000Q7vkEIAR","SAL","2025-06-25","Sales","2025-06-25T20:20:36.000+0000"
"00QV500000LBLDAMA5"," ","SAL","2025-06-25","Sales","2025-06-25T20:18:36.000+0000"
"00QV500000LBLDAMA5"," ","MQL","2025-06-25","Sales","2025-06-25T20:18:24.000+0000"
" ","003V500000Q86XVIAZ","MQL","2025-06-25","Sales","2025-06-25T20:24:59.000+0000"
"00QV500000LB6CVMA1"," ","MQL","2025-06-25","Sales","2025-06-25T20:24:39.000+0000"
" ","003V50000067BrrIAE","MQL","2025-06-27","Marketing Research","2025-06-27T15:13:23.000+0000"
" ","003V50000067a3aIAA","MQL","2025-06-27","Marketing Research","2025-06-27T15:13:23.000+0000"
" ","003V50000067qA5IAI","MQL","2025-06-27","Events","2025-06-27T15:13:23.000+0000"
" ","003V500000Q2kpOIAR","MQL","2025-06-27","Events","2025-06-27T15:13:23.000+0000"
"00QV500000LHbbpMAD"," ","MQL","2025-06-27","Events","2025-06-27T18:53:56.000+0000"
"00QV500000LHqNwMAL"," ","MQL","2025-06-27","Events","2025-06-27T19:09:37.000+0000"
"00QV500000LH6mUMAT"," ","MQL","2025-06-30","Google Natural Search","2025-06-30T19:43:27.000+0000"
"00QV5000006N7AhMAK"," ","MQL","2025-07-01","Webinar","2025-07-01T20:55:08.000+0000"
" ","003V50000067e3fIAA","MQL","2025-07-01","Webinar","2025-07-01T20:55:11.000+0000"
" ","003V50000067xBgIAI","MQL","2025-07-01","Website","2025-07-01T20:55:11.000+0000"
" ","003V500000682AvIAI","MQL","2025-07-01","Webinar","2025-07-01T20:55:11.000+0000"
" ","003V500000LrL8qIAF","MQL","2025-07-01","Webinar","2025-07-01T20:55:11.000+0000"
"00QV500000LTyXsMAL"," ","MQL","2025-07-02","Webinar","2025-07-02T15:22:06.000+0000"
"00QV500000LUIQKMA5"," ","MQL","2025-07-02","Webinar","2025-07-02T15:48:15.000+0000"
"00QV500000LUIQMMA5"," ","MQL","2025-07-02","Webinar","2025-07-02T15:48:15.000+0000"
"00QV500000L2VDMMA3"," ","SAL","2025-07-03","Partner","2025-07-03T21:24:09.000+0000"
"00QV500000Acb5dMAB"," ","MQL","2025-07-07","Email","2025-07-07T19:42:33.000+0000"
"00QV500000EplbAMAR"," ","MQL","2025-07-07","Website","2025-07-07T19:27:31.000+0000"
"00QV500000Acb5dMAB"," ","MQL","2025-07-07","Email","2025-07-07T19:52:46.000+0000"
" ","003V500000OIkBhIAL","MQL","2025-07-07","Webinar","2025-07-07T19:56:39.000+0000"
" ","003V500000OIkBhIAL","MQL","2025-07-08","Webinar","2025-07-08T13:56:51.000+0000"
"00QV500000L10I1MAJ"," ","MQL","2025-07-08","Website","2025-07-08T16:19:42.000+0000"
"00QV500000LjhazMAB"," ","MQL","2025-07-08","Google Natural Search","2025-07-08T18:22:55.000+0000"
" ","003V50000067u2CIAQ","MQL","2025-07-08","Website","2025-07-08T21:04:02.000+0000"
" ","003V5000007ZY68IAG","MQL","2025-07-09","Google Natural Search","2025-07-09T15:49:42.000+0000"
"00QV500000JwxXuMAJ"," ","MQL","2025-07-09","Social Media - Organic","2025-07-09T15:57:12.000+0000"
" ","003V50000067xBgIAI","MQL","2025-07-10","Website","2025-07-10T07:26:24.000+0000"
"00QV500000LjhazMAB"," ","SAL","2025-07-10","Google Natural Search","2025-07-10T12:20:56.000+0000"
" ","003V500000683VBIAY","MQL","2025-07-10","Website","2025-07-10T17:58:46.000+0000"
"00QV500000Lqq9kMAB"," ","MQL","2025-07-10","Sales","2025-07-10T18:33:45.000+0000"
"00QV500000Lqq9kMAB"," ","SAL","2025-07-10","Sales","2025-07-10T18:33:58.000+0000"
" "," ","MQL","2025-07-15"," ","2025-07-15T18:25:09.000+0000"
" "," ","SAL","2025-07-15"," ","2025-07-15T18:25:19.000+0000"
"00QV500000M3TLlMAN"," ","SAL","2025-07-15","Display","2025-07-15T19:03:42.000+0000"
"00QV500000Acb5dMAB"," ","SAL","2025-07-15","Email","2025-07-15T18:21:42.000+0000"
"00QV500000M3T7FMAV"," ","SAL","2025-07-15","Website","2025-07-15T19:42:55.000+0000"
"00QV500000JwxXuMAJ"," ","SAL","2025-07-15","Social Media - Organic","2025-07-15T19:12:54.000+0000"
" ","003V500000NtZRkIAN","SAL","2025-07-15","memoryBlue","2025-07-15T19:10:51.000+0000"
"00QV500000M3TLlMAN"," ","MQL","2025-07-15","Display","2025-07-15T19:02:58.000+0000"
"00QV500000DBUxlMAH"," ","SAL","2025-07-15","6sense SI","2025-07-15T19:09:46.000+0000"
"00QV500000M3T7FMAV"," ","MQL","2025-07-15","Website","2025-07-15T19:42:46.000+0000"
"00QV500000DoTdXMAV"," ","SAL","2025-07-16","Webinar","2025-07-16T13:27:02.000+0000"
"00QV500000KIkNRMA1"," ","SAL","2025-07-16","Website","2025-07-16T12:55:22.000+0000"
" "," ","MQL","2025-07-17"," ","2025-07-17T17:30:17.000+0000"
"00QV500000MABDmMAP"," ","MQL","2025-07-17","Website","2025-07-17T17:17:25.000+0000"
" "," ","MQL","2025-07-17"," ","2025-07-17T17:29:44.000+0000"
"00QV500000MCkFhMAL"," ","MQL","2025-07-18","Website","2025-07-18T13:45:09.000+0000"
"00QV500000MIHnKMAX"," ","MQL","2025-07-21","Website","2025-07-21T13:22:02.000+0000"
"00QV500000MIKbiMAH"," ","MQL","2025-07-21","Google Natural Search","2025-07-21T14:13:42.000+0000"
"00QV500000MIHnKMAX"," ","SAL","2025-07-21","Website","2025-07-21T19:07:50.000+0000"
"00QV5000006N7FuMAK"," ","MQL","2025-07-21","Social Media - Organic","2025-07-21T20:49:28.000+0000"
"00QV500000Lk1LBMAZ"," ","MQL","2025-07-22","WebHelp Registration","2025-07-22T18:17:14.000+0000"
"00QV500000MNOhhMAH"," ","MQL","2025-07-22","Google Natural Search","2025-07-23T03:37:24.000+0000"
"00QV500000Lk1LBMAZ"," ","SAL","2025-07-23","WebHelp Registration","2025-07-23T12:26:00.000+0000"
"00QV5000006N869MAC"," ","MQL","2025-07-23","Webinar","2025-07-23T17:09:27.000+0000"
" ","003V50000067bvgIAA","SAL","2025-07-23","Events","2025-07-23T19:46:16.000+0000"
"00QV500000MRzdrMAD"," ","MQL","2025-07-24","Website","2025-07-24T15:48:16.000+0000"
"00QV500000MUhxJMAT"," ","MQL","2025-07-25","Google Natural Search","2025-07-25T13:38:33.000+0000"
"00QV5000006N869MAC"," ","SAL","2025-07-25","Webinar","2025-07-25T17:59:34.000+0000"
"00QV500000MX031MAD"," ","MQL","2025-07-26","Google Ad","2025-07-27T00:02:14.000+0000"
"00QV500000BWtkbMAD"," ","MQL","2025-07-29","Google Ad","2025-07-29T14:45:43.000+0000"
" ","003V500000683VBIAY","SAL","2025-07-29","Website","2025-07-29T18:27:09.000+0000"
"00QV500000MX031MAD"," ","SAL","2025-07-30","Google Ad","2025-07-30T13:50:35.000+0000"
"00QV500000Mik8vMAB"," ","MQL","2025-07-31","Website","2025-07-31T11:39:28.000+0000"
"00QV500000MjLTVMA3"," ","MQL","2025-07-31","Website","2025-07-31T16:24:04.000+0000"
"00QV500000Mjnw2MAB"," ","MQL","2025-07-31","Bing Natural Search","2025-07-31T19:27:25.000+0000"
"00QV5000006N86aMAC"," ","MQL","2025-08-01","Webinar","2025-08-01T20:31:36.000+0000"
" ","003V500000683VBIAY","MQL","2025-08-01","Website","2025-08-01T20:54:03.000+0000"
"00QV500000MjLTVMA3"," ","SAL","2025-08-04","Website","2025-08-04T19:35:50.000+0000"
"00QV500000Hx3jGMAR"," ","MQL","2025-08-05","LinkedIn Ad","2025-08-05T18:19:15.000+0000"
" ","003V50000067bvzIAA","SAL","2025-08-07"," ","2025-08-07T17:44:49.000+0000"
"00QV500000N0Pu2MAF"," ","MQL","2025-08-07","LinkedIn Ad","2025-08-07T18:40:26.000+0000"
"00QV500000N0Pu2MAF"," ","SAL","2025-08-07","LinkedIn Ad","2025-08-07T20:23:27.000+0000"
"00QV500000N0Pu2MAF"," ","MQL","2025-08-07","LinkedIn Ad","2025-08-07T20:23:43.000+0000"
"00QV500000N2qF2MAJ"," ","MQL","2025-08-08"," ","2025-08-08T17:07:58.000+0000"
"00QV500000N2qF2MAJ"," ","MQL","2025-08-11"," ","2025-08-11T18:32:01.000+0000"
"00QV500000N7if1MAB"," ","MQL","2025-08-11","Sales","2025-08-11T18:26:26.000+0000"
"00QV500000N7if1MAB"," ","SAL","2025-08-11","Sales","2025-08-11T18:26:43.000+0000"
"00QV500000Hx3jGMAR"," ","MQL","2025-08-11","LinkedIn Ad","2025-08-11T19:32:21.000+0000"
"00QV500000N8Ys5MAF"," ","MQL","2025-08-11","Google Natural Search","2025-08-11T22:15:15.000+0000"
"00QV500000N9N3PMAV"," ","MQL","2025-08-12","Google Natural Search","2025-08-12T08:14:12.000+0000"
"00QV500000N9N3PMAV"," ","SAL","2025-08-12","Google Natural Search","2025-08-12T12:05:39.000+0000"
"00QV500000N9k82MAB"," ","MQL","2025-08-12","Bing Natural Search","2025-08-12T11:44:27.000+0000"
"00QV5000006N1hnMAC"," ","SAL","2025-08-12","memoryBlue","2025-08-12T14:26:13.000+0000"
" ","003V500000ErlFHIAZ","MQL","2025-08-12","Google Ad","2025-08-12T19:01:34.000+0000"
"00QV500000NApP0MAL"," ","SAL","2025-08-12","Website","2025-08-12T19:15:34.000+0000"
" ","003V500000FRvGWIA1","MQL","2025-08-12","Webinar","2025-08-12T19:00:02.000+0000"
"00QV500000NApP0MAL"," ","MQL","2025-08-12","Website","2025-08-12T18:42:46.000+0000"
" ","003V500000672t8IAA","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V500000674zcIAA","MQL","2025-08-13","Pardot Email","2025-08-13T18:15:39.000+0000"
" ","003V500000675BHIAY","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V500000676c0IAA","MQL","2025-08-13","Sales","2025-08-13T18:15:39.000+0000"
" ","003V500000676c3IAA","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V500000676tPIAQ","MQL","2025-08-13","Sales","2025-08-13T18:15:39.000+0000"
" ","003V500000676tSIAQ","MQL","2025-08-13"," ","2025-08-13T18:15:39.000+0000"
" ","003V50000067DigIAE","MQL","2025-08-13","Webinar","2025-08-13T18:15:39.000+0000"
" ","003V50000067G1YIAU","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V50000067GzkIAE","MQL","2025-08-13","Marketing Research","2025-08-13T18:15:39.000+0000"
" ","003V50000067JPCIA2","MQL","2025-08-13","Webinar","2025-08-13T18:15:39.000+0000"
" ","003V50000067JQhIAM","MQL","2025-08-13","Webinar","2025-08-13T18:15:39.000+0000"
" ","003V50000067JjyIAE","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067JygIAE","MQL","2025-08-13"," ","2025-08-13T18:15:39.000+0000"
" ","003V50000067K49IAE","MQL","2025-08-13","Marketing Research","2025-08-13T18:15:39.000+0000"
" ","003V50000067KBcIAM","MQL","2025-08-13","Marketing Research","2025-08-13T18:15:39.000+0000"
" ","003V50000067Kn0IAE","MQL","2025-08-13"," ","2025-08-13T18:15:39.000+0000"
" ","003V50000067M7HIAU","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067M7oIAE","MQL","2025-08-13","webhelp-access-requested","2025-08-13T18:15:39.000+0000"
" ","003V50000067N1IIAU","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067OobIAE","MQL","2025-08-13","webhelp-access-requested","2025-08-13T18:15:39.000+0000"
" ","003V50000067OzCIAU","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V50000067PwNIAU","MQL","2025-08-13","Drip Email","2025-08-13T18:15:39.000+0000"
" ","003V50000067R7ZIAU","MQL","2025-08-13","Web Site","2025-08-13T18:15:39.000+0000"
" ","003V50000067RO7IAM","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067TbyIAE","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067TvyIAE","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V50000067U9JIAU","MQL","2025-08-13","Inside Sales","2025-08-13T18:15:39.000+0000"
" ","003V50000067UFjIAM","MQL","2025-08-13","WebHelp Registration","2025-08-13T18:15:39.000+0000"
" ","003V50000067UnUIAU","MQL","2025-08-13"," ","2025-08-13T18:15:39.000+0000"
" ","003V50000067UtBIAU","MQL","2025-08-13","Partner","2025-08-13T18:15:39.000+0000"
" ","003V50000067YpeIAE","MQL","2025-08-13"," ","2025-08-13T18:15:39.000+0000"
" ","003V50000067arpIAA","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V50000067bLuIAI","MQL","2025-08-13","Webinar","2025-08-13T18:15:39.000+0000"
" ","003V50000067djwIAA","MQL","2024-12-04","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067dvoIAA","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067gWpIAI","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V50000067h7QIAQ","MQL","2025-08-13"," ","2025-08-13T18:15:39.000+0000"
" ","003V50000067h7oIAA","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067lSNIAY","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067lVCIAY","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V50000067lVEIAY","MQL","2025-03-14","Google Ad","2025-08-13T18:15:39.000+0000"
" ","003V50000067mXqIAI","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067mYTIAY","MQL","2025-08-13"," ","2025-08-13T18:15:39.000+0000"
" ","003V50000067msNIAQ","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V50000067woSIAQ","MQL","2025-08-13","Event","2025-08-13T18:15:39.000+0000"
" ","003V50000067z6FIAQ","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V50000067z8DIAQ","MQL","2025-08-13","Webinar","2025-08-13T18:15:39.000+0000"
" ","003V500000680G7IAI","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V500000680pkIAA","MQL","2025-08-13","Sales","2025-08-13T18:15:39.000+0000"
" ","003V5000006819zIAA","MQL","2025-08-13","pardot","2025-08-13T18:15:39.000+0000"
" ","003V500000681BtIAI","MQL","2025-08-13","Events","2025-08-13T18:15:39.000+0000"
" ","003V500000683wsIAA","MQL","2025-08-13","pardot","2025-08-13T18:15:39.000+0000"
"00QV5000006N7ejMAC"," ","MQL","2025-08-13","Other - Marketing","2025-08-13T18:15:29.000+0000"
"00QV5000006N7MmMAK"," ","MQL","2025-08-13","Web Site","2025-08-13T18:15:29.000+0000"
"00QV5000006N7nRMAS"," ","MQL","2025-08-13","Webinar","2025-08-13T18:15:29.000+0000"
" ","003V50000067Tm5IAE","MQL","2025-08-13","Webinar","2025-08-13T18:11:50.000+0000"
" ","003V50000067TvnIAE","MQL","2025-08-13","White Paper Placement","2025-08-13T18:11:50.000+0000"
"00QV500000GjL78MAF"," ","SAL","2025-03-14","Partner","2025-08-14T13:59:39.000+0000"
"00QV500000NHCh3MAH"," ","SAL","2025-08-14","Google Natural Search","2025-08-14T20:35:35.000+0000"
"00QV500000NHCh3MAH"," ","MQL","2025-08-14","Google Natural Search","2025-08-14T20:25:35.000+0000"
" ","003V50000067R7ZIAU","SAL","2025-08-15","Web Site","2025-08-15T13:39:26.000+0000"
" ","003V50000067JQhIAM","SAL","2025-08-15","Webinar","2025-08-15T13:55:40.000+0000"
"00QV5000006MvQTMA0"," ","MQL","2025-08-15","Event","2025-08-15T17:24:46.000+0000"
" ","003V50000067zbCIAQ","SAL","2025-08-20","Linkedin Sales Navigator","2025-08-20T12:20:49.000+0000"
"00QV500000NU5oFMAT"," ","MQL","2025-08-20","Partner","2025-08-20T18:50:24.000+0000"
"00QV500000NU5oFMAT"," ","SAL","2025-08-20","Partner","2025-08-20T18:50:28.000+0000"
"00QV500000NZKeYMAX"," ","MQL","2025-08-22","Website","2025-08-22T15:03:26.000+0000"
"00QV500000GWD8BMAX"," ","SAL","2025-08-26","Webinar","2025-08-26T15:32:21.000+0000"
"00QV500000GWD8BMAX"," ","MQL","2025-08-26","Webinar","2025-08-26T15:32:20.000+0000"
"00QV500000Hx3jGMAR"," ","MQL","2025-08-26","LinkedIn Ad","2025-08-26T16:49:20.000+0000"
"00QV5000006N5nYMAS"," ","MQL","2025-08-27","Web Site","2025-08-27T18:10:58.000+0000"
"00QV500000JGENSMA5"," ","SAL","2025-08-27","Other - Marketing","2025-08-27T20:06:14.000+0000"
"00QV500000NmxgiMAB"," ","MQL","2025-08-28","Google Ad","2025-08-28T08:41:30.000+0000"
" ","003V50000067TvuIAE","MQL","2025-08-28","Events","2025-08-28T19:53:32.000+0000"
"00QV500000NohZGMAZ"," ","MQL","2025-08-28","Google Ad","2025-08-28T20:47:31.000+0000"
"00QV500000Nr8joMAB"," ","MQL","2025-08-29","Google Ad","2025-08-29T17:17:45.000+0000"
"00QV500000NsQgEMAV"," ","MQL","2025-08-29","Google Natural Search","2025-08-30T06:01:17.000+0000"
"00QV500000NutqzMAB"," ","MQL","2025-09-01","Website","2025-09-01T07:22:08.000+0000"
"00QV500000NuyAjMAJ"," ","MQL","2025-09-01","Website","2025-09-01T07:53:31.000+0000"
"00QV500000NvWNjMAN"," ","MQL","2025-09-01","Website","2025-09-01T14:40:21.000+0000"
"00QV500000NzH8QMAV"," ","MQL","2025-09-03","Partner","2025-09-03T15:49:59.000+0000"
"00QV500000NzNyZMAV"," ","MQL","2025-09-03","Partner","2025-09-03T15:33:03.000+0000"
"00QV500000NzDJMMA3"," ","SAL","2025-09-03","Partner","2025-09-03T15:56:16.000+0000"
"00QV500000Nz8LEMAZ"," ","SAL","2025-09-03","Partner","2025-09-03T16:00:42.000+0000"
"00QV500000NzDJMMA3"," ","MQL","2025-09-03","Partner","2025-09-03T15:56:14.000+0000"
"00QV500000Nz8LEMAZ"," ","MQL","2025-09-03","Partner","2025-09-03T16:00:40.000+0000"
"00QV500000NzN0sMAF"," ","SAL","2025-09-03","Partner","2025-09-03T15:53:33.000+0000"
"00QV500000NzNyZMAV"," ","SAL","2025-09-03","Partner","2025-09-03T15:33:06.000+0000"
"00QV500000NzE13MAF"," ","SAL","2025-09-03","Partner","2025-09-03T15:43:13.000+0000"
"00QV500000NzE13MAF"," ","MQL","2025-09-03","Partner","2025-09-03T15:43:11.000+0000"
"00QV500000NzLaBMAV"," ","MQL","2025-09-03","Partner","2025-09-03T16:03:58.000+0000"
"00QV500000NzLaBMAV"," ","SAL","2025-09-03","Partner","2025-09-03T16:04:01.000+0000"
"00QV500000NzH8QMAV"," ","SAL","2025-09-03","Partner","2025-09-03T15:50:01.000+0000"
"00QV500000NzN0sMAF"," ","MQL","2025-09-03","Partner","2025-09-03T15:53:31.000+0000"
"00QV5000006N7myMAC"," ","MQL","2025-09-04","Webinar","2025-09-04T15:54:14.000+0000"
"00QV5000006N7lmMAC"," ","MQL","2025-09-04","Webinar","2025-09-04T15:51:40.000+0000"
"00QV5000006N5nYMAS"," ","SAL","2025-09-04","Web Site","2025-09-04T16:19:51.000+0000"
"00QV500000O5TwPMAV"," ","MQL","2025-09-04","Google Ad","2025-09-04T20:42:48.000+0000"
" ","003V500000TZLU1IAP","MQL","2025-09-05","Event","2025-09-05T15:46:58.000+0000"
"00QV500000OADEHMA5"," ","MQL","2025-09-06","Google Ad","2025-09-07T05:06:30.000+0000"
"00QV500000OCFDaMAP"," ","MQL","2025-09-08","Website","2025-09-08T13:49:49.000+0000"
"00QV500000OCisHMAT"," ","MQL","2025-09-08","WebHelp Registration","2025-09-08T15:02:07.000+0000"
"00QV500000OKBj5MAH"," ","MQL","2025-09-10","Website","2025-09-11T00:11:17.000+0000"
"00QV5000006N6JyMAK"," ","MQL","2025-09-10","webhelp-access-requested","2025-09-10T21:17:32.000+0000"
"00QV500000OMqQMMA1"," ","MQL","2025-09-11","Partner","2025-09-11T19:40:55.000+0000"
"00QV500000OMqQMMA1"," ","SAL","2025-09-11","Partner","2025-09-11T19:40:57.000+0000"
"00QV500000OXPebMAH"," ","MQL","2025-09-16","Google Natural Search","2025-09-16T14:14:20.000+0000"
"00QV500000EygtyMAB"," ","MQL","2025-09-16","Website","2025-09-16T14:37:55.000+0000"
"00QV500000OYVGVMA5"," ","MQL","2025-09-16","Website","2025-09-16T19:09:26.000+0000"
"00QV500000Obt7oMAB"," ","MQL","2025-09-17","Events","2025-09-17T20:15:48.000+0000"
"00QV500000OdupMMAR"," ","MQL","2025-09-18","Website","2025-09-18T13:14:24.000+0000"
"00QV500000OjdIjMAJ"," ","MQL","2025-09-20","Website","2025-09-22T18:46:05.000+0000"
"00QV500000ML76jMAD"," ","MQL","2025-09-22","WebHelp Registration","2025-09-23T02:01:37.000+0000"
"00QV500000ML76jMAD"," ","SAL","2025-09-22","WebHelp Registration","2025-09-23T02:01:40.000+0000"
" ","003V50000067jH0IAI","MQL","2025-09-23","Events","2025-09-23T15:15:38.000+0000"
"00QV500000OoF2rMAF"," ","MQL","2025-09-23","Partner","2025-09-23T16:51:52.000+0000"
"00QV500000OoF2rMAF"," ","SAL","2025-09-23","Partner","2025-09-23T16:53:51.000+0000"
"00QV500000OqgBsMAJ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgBtMAJ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgBuMAJ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgBwMAJ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgBxMAJ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgByMAJ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgBzMAJ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgC7MAJ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgC8MAJ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgC9MAJ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCAMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCDMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCEMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCKMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCLMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCMMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCNMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCSMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCVMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCWMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCXMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
"00QV500000OqgCYMAZ"," ","MQL","2025-09-23","Events","2025-09-23T18:28:01.000+0000"
