"Id","Name","AccountNumber","Type","Industry","Ownership","Rating","ParentId","OwnerId","CreatedDate","LastModifiedDate","Phone","Website","BillingStreet","BillingCity","BillingState","BillingPostalCode","BillingCountry","AnnualRevenue","NumberOfEmployees","Description"
"001V5000006b0e8IAA","Commonwealth Bank of Australia","","Prospect","Div Financial Services","Private","","","005V5000001gBKBIA2","2010-11-12T14:44:38.000Z","2026-05-04T08:32:09.000Z","+61 299993283","www.commbank.com.au","Level 2B 1 Harbour St","Sydney","","NSW","Australia","3.0851697012E10","49454","Commonwealth Bank of Australia (CBA), one of Australia's Big Four banks, offers retail, private, business, and institutional banking services, funds management, insurance, and investment services. CBA's brands include Bankwest, wealth manager Colonial First State, master trust services provider FirstChoice, online brokerage CommSec, ASB Bank, which provides banking, investment, and financial services in New Zealand. CBA has more than 1,100 branch offices in Australia (plus over 3,600 Australia Post locations), as well as operations that reach Asia, Europe, and the US. CBA is also one of the largest life insurers in Australia, and a leading provider of home loans there."
"001V5000006b0e9IAA","Nissan Motor Acceptance Corp","","","Retail","","","001V5000006eThUIAU","005V5000001gBKBIA2","2010-11-15T18:35:07.000Z","2026-04-29T11:03:41.000Z","(615) 725-1000","www.nissannews.com","8900 FREEPORT PKWY","IRVING","TX","750632438","United States","0.0","45",""
"001V5000006b0eAIAQ","Match.com","","Prospect","Media & Internet","","","001V5000006eThZIAU","005V5000001gBKBIA2","2010-11-16T20:03:13.000Z","2026-04-28T13:37:30.000Z","(214) 576-9352","www.mtch.com","8300 Douglas Ave","Dallas","TX","75225","United States","0.0","2700","Match Group was founded in 2009 and is headquartered in Dallas, Texas. The group specializes in dating software, websites, and apps. Their companies include Match.com, OKCupid, Tinder, and more."
"001V5000006b0eBIAQ","Fred Loya Insurance","","Prospect","Home & Auto Insurance","","","","005V5000001gBKBIA2","2010-11-19T15:58:03.000Z","2026-05-01T16:19:08.000Z","(800) 554-0595","www.fredloya.com","1800 N Lee Trevino","El Paso","TX","79936","United States","0.0","3500",""
"001V5000006b0eCIAQ","UFCU","","Prospect","Banking","Private","","","005V5000001gBKBIA2","2010-11-22T19:59:03.000Z","2026-04-28T13:37:31.000Z","(512) 997-4612","www.ufcu.org","3505 Steck Ave","Austin","TX","78759-8808","United States","5.82536E7","792","UFCU is a non-profit organization that provides both commercial and personal financial services. Some of the services they provide include loaning, credit card issuing, checking and savings accounts, and more. This company is headquartered in Austin, Texas and was founded in 1936."
"001V5000006b0eDIAQ","Morgan & Morgan","","","Other","","","","005V5000001gA76IAE","2010-11-29T18:54:35.000Z","2026-05-03T09:32:13.000Z","","","","Atlanta","GA","","United States","","0",""
"001V5000006b0eEIAQ","CMI Group","","Prospect","Outsourcer","Private","","","005V5000001gAGPIA2","2010-11-29T20:33:49.000Z","2026-04-28T13:37:31.000Z","(800) 377-7713","http://www.thecmigroup.com","4200 International Parkway","Carrollton","TX","75007","United States","1.67E7","200",""
"001V5000006b0eFIAQ","CPI Security Systems","","Prospect","Business Services","","","","005V5000001gBKBIA2","2010-11-29T20:33:50.000Z","2026-05-02T10:23:09.000Z","(704) 945-6000","www.cpisecurity.com","4200 Sandy Porter Road","Charlotte","NC","28273","United States","","750","CPI Security Systems, Inc. designs, installs, monitors, and services security systems for families and businesses in North and South Carolina. It provides inTouch, a security system that allows to remotely monitor activity at home or business; inTouch Video, which enables to see what's going on at home or in the office; Real Time Response, a technology that provides instant contact with a trained professional without having to access a phone; energy management; fire and carbon monoxide detection; interior intrusion protection; perimeter intrusion protection; water leak; 24-hour monitoring; medical assistance; intercom and central vac systems; wiring; audio/video; video surveillance systems; and access control. CPI Security Systems, Inc. was formerly known as Crime Prevention, Inc. and changed its name to CPI Security Systems, Inc. in November 2004. The company was founded in 1976 and is based in Charlotte, North Carolina with field offices in Raleigh and Greensboro/Winston-Salem, North Carolina; Greenville, South Carolina; and Atlanta, Georgia."
"001V5000006b0eGIAQ","Dialog Direct","","","Outsourcer","Private","","","005V5000001gAjxIAE","2010-11-29T20:33:50.000Z","2026-04-28T13:37:31.000Z","(800) 523-5867","www.dialogue-marketing.com","300 East Big Beaver Road Suite 400","Troy","MI","48083","United States","6.61E7","1132","Dialogue Marketing, Inc. provides business process outsourcing and customer engagement services for companies to acquire, support, and retain customers in the United States. It offers lead generation/qualification, B2B/inside sales, social media customer, outbound contact, help desk/tech support, order fulfillment, and customer services, as well as customized solutions. The company was founded in 1977 and is based in Troy, Michigan with locations in Auburn Hills, Michigan; Orem and Provo, Utah; and Barreal de Heredia, Costa Rica."
"001V5000006b0eHIAQ","Etech, Inc","","","Outsourcer","Private","","","005V5000001gAGNIA2","2010-11-29T20:33:50.000Z","2026-05-03T09:32:17.000Z","(936) 559-2200","http://www.etechgs.com/","1903 Berry Drive","Nacogdoches","TX","382475","India","0.0","1500","Etech, Inc. provides business process outsourcing services in the United States and India. It offers customer interaction, quality assurance, Web application and software development, receivables management, and collegiate help desk services. The company also provides inbound and outbound customer interaction services, which include business-to-consumer and business-to-business interaction services. Its Web application and software development services include application development, computer telephone integration development, Web application development, database management, application data integration, database design and structures, database redesign, database migration, and documentation. In addition, it offers lead generation, live chat, collection management, Internet, Web chat, and email fulfillment services. The company has strategic partnerships with SER, LivePerson, and PossibleNow. Etech, Inc. was formerly known as Effective Teleservices, Inc. The company was founded in 1997 and is based in Nacogdoches, Texas. It has locations in Nacogdoches, Lufkin, and Pasadena, Texas; and Gandhinagar and Baroda, India."
"001V5000006b0eIIAQ","Jabra","","Prospect","Manufacturing","","","","005V5000001gBKBIA2","2010-11-29T20:33:52.000Z","2026-04-30T09:05:58.000Z","(866) 697-8757","www.jabra.com","Lautrupbjerg 7","Ballerup","","2570","Denmark","101.0","2000","Founded in 1983, Jabra develops, manufactures, and markets wireless and corded headsets for mobile phone users, contact centers and office-based users. Jabra is based in Lowell, Massachusetts."
"001V5000006b0eJIAQ","The Results Companies","","","Outsourcer","","","","005V5000001gBKBIA2","2010-11-29T20:33:55.000Z","2026-04-28T13:37:30.000Z","(954) 921-2400","resultstel.com","100 NE Third Avenue, Suite 200","Fort Lauderdale","FL","33001","United States","0.0","10000",""
"001V5000006b0eKIAQ","New York Community Bank","","Prospect","Div Financial Services","Private","","","005V5000001gBKBIA2","2008-08-07T17:53:40.000Z","2026-04-30T09:06:01.000Z","(516) 683-4600","www.mynycb.com","7570 Northcliff Ave","Cleveland","OH","44144-3252","United States","2.25172E9","7497","Started in 1859 and headquartered in Westbury, New York, New York Community Bancorp is a United States bank holding companies operating serving throughout Metro New York, New Jersey, Florida, Ohio, and Arizona."
"001V5000006b0eLIAQ","Aegis Communications Group, Inc.","","","Outsourcer","Private","","","005V5000001gA76IAE","2010-12-01T02:45:54.000Z","2026-04-28T13:37:31.000Z","(972) 830-1896","www.aegisglobal.com","8001 BENT BRANCH DR","IRVING","TX","750636024","United States","0.0","10000",""
"001V5000006b0eMIAQ","Cricket Wireless","","Prospect","Telco/Cable","Private","","001V5000006b9J6IAI","005V500000GElYvIAL","2010-12-01T14:54:19.000Z","2026-05-04T08:32:13.000Z","(303) 238-1667","www.mycricket.com","6655 S Lewis Ave Ste 200","Tulsa","OK","74136-1031","United States","0.0","5","Cricket Communications may not know a bowler from a batsman, but it can get you off a sticky wicket if you need wireless service. The primary operating subsidiary of Leap Wireless, the company provides local mobile voice an data service to more than 5 million customers in 35 US states. Its service is used largely by budget-conscious youth and minority callers who do most of their calling from within the company's network. Cricket's core products are flat-rate monthly plans for unlimited calling. It resells phones from manufacturers including Research in Motion, Samsung and Kyocera. The company sells directly through its retail stores and kiosks, and through Internet resellers and such retailers as Best Buy and Target."
"001V5000006b0eNIAQ","Blackhawk Network","","","Telco_Cable","Public","","","005V5000001gBKBIA2","2010-12-06T13:43:24.000Z","2026-05-04T08:32:11.000Z","(925) 226-9990","http://www.blackhawknetwork.com","6220 Stoneridge Mall Rd","Pleasanton","CA","94588-3260","United States","2.232E9","3190","Founded in 2001, Blackhawk Network Holdings is a global financial technology company and provider of prepaid gift, reward, and incentive technologies and solutions. The company provides technology, management, and distribution of branded values such as gift cards, telecom, and financial service products. Blackhawk Network is headquartered in Pleasanton, California."
"001V5000006b0eOIAQ","PayPal","","Prospect","Div Financial Services","Private","","","005V5000001gAGQIA2","2010-12-07T15:10:28.000Z","2026-05-04T08:32:13.000Z","(408) 967-1000","www.paypal.com","12312 Port Grace Blvd","La Vista","NE","68128","United States","5.47E7","29900","PayPal Holdings, Inc. operates as a technology platform company that enables digital and mobile payments on behalf of consumers and merchants worldwide. It enables businesses of various sizes to accept payments from merchant Websites, mobile devices, and applications, as well as at offline retail locations through a range of payment solutions, including PayPal, PayPal Credit, Braintree, Venmo, and Xoom products. The company's platform allows customers to pay and get paid, transfer and withdraw funds to their bank accounts, and hold balances in their PayPal accounts in various currencies. PayPal Holdings, Inc. was founded in 1998 and is headquartered in San Jose, California."
"001V5000006b0ePIAQ","U-Haul","","Prospect","Transportation","Private","","","005V5000001gAGSIA2","2010-12-07T18:38:30.000Z","2026-05-04T05:56:33.000Z","(800) 468-4285","www.uhaul.com","2727 N. Central Avenue","Phoenix","AZ","85004","United States","2.002E9","17901","Founded in 1945 and headquartered in Phoenix, Arizona, U-Haul is an American moving equipment and storage rental company."
"001V5000006b0eQIAQ","University of Phoenix","","Prospect","Education","Private","","001V5000006b0eXIAQ","005V5000001gBKBIA2","2010-12-08T13:16:56.000Z","2026-04-28T13:37:31.000Z","(602) 557-5566","www.phoenix.edu","4615 E ELWOOD ST","PHOENIX","AZ","850401958","United States","4.92582E9","3350",""
"001V5000006b0eRIAQ","American Management Assn.","","Prospect","Consultant","Private","","","005V5000001gA76IAE","2010-12-13T21:39:46.000Z","2026-04-28T13:37:31.000Z","(212) 586-8100","http://www.amanet.org/","1601 BROADWAY FL 7","NEW YORK","NY","100197434","United States","1.36138E8","300","American Management Association (AMA) is a not-for-profit membership association that provides a variety of educational and management development services to businesses, government agencies, and individuals. The associations is engaged in professional development, advancing the skills of individuals. AMA offers more than 140 training seminars in more than 25 subject areas of business management and workforce development. It also sponsors conferences and workshops and provides webcasts, podcasts, and books in such areas as communication, leadership, project management, sales and marketing, human resources, and finance and accounting."
"001V5000006b0eSIAQ","La Quinta by Wyndham","","Prospect","Hospitality","","","001V5000006bGwDIAU","005V5000001gBKBIA2","2010-12-15T20:05:11.000Z","2026-05-04T08:32:05.000Z","(973) 753-6000","www.wyndhamhotels.com","22 Sylvan Way","Parsippany","NJ","07054","United States","","2500","Wyndham Worldwide Corporation provides hospitality services and products to individual and business customers worldwide. It operates through three segments: Hotel Group, Destination Network, and Vacation Ownership. The Hotel Group segment primarily franchises hotels in the upscale, upper midscale, midscale, economy, and extended stay segments, as well as provides property management services for full-service and select limited-service hotels. This segment operates approximately 7,923 franchised hotels and 697,600 hotel rooms. The Destination Network segment provides vacation exchange services and products to owners of intervals of vacation ownership interests (VOIs); manages and markets vacation rental properties primarily on behalf of independent owners. The Vacation Ownership segment develops, markets, and sells VOIs to individual consumers; and provides consumer financing in connection with the sale of VOIs, as well as offers property management services at resorts. The company offers its hospitality services and products under the Wyndham Hotels and Resorts, Ramada, Days Inn, Super 8, Howard Johnson, Wingate by Wyndham, Microtel Inns & Suites by Wyndham, TRYP by Wyndham, Dolce Hotels and Resorts, RCI, Landal GreenParks, Novasol, Hoseasons, cottages.com, James Villa Holidays, Wyndham Vacation Rentals, Wyndham Vacation Resorts, Shell Vacations Club, and WorldMark by Wyndham. Wyndham Worldwide Corporation was founded in 1990 and is headquartered in Parsippany."
"001V5000006b0eTIAQ","AARP","","Prospect","Health Insurance","Private","","","005V5000006tDZ3IAM","2010-12-21T16:06:02.000Z","2026-04-30T09:06:01.000Z","(202) 434-2277","www.aarp.org","601 E Street, NW","Washington","DC","20049","United States","1.438991E9","1976","Turn 50 and the doors of the AARP will open for you, as they have for 37 million current members. On behalf of its members, the not-for-profit AARP acts as an advocate on public policy issues, such as health care and financial security, publishes information (the monthly AARP Bulletin and the bimonthly AARP The Magazine, and through Spanish language media), promotes community service, and works with business partners to offer products and services (including discounts on insurance and travel). The group is organized into some 2,400 local chapters throughout the US. Royalties from businesses eager to reach AARP members account for about half of the group's revenue."
"001V5000006b0eUIAQ","Trivita, Inc.","","","Other","Private","","","005V5000001gA76IAE","2010-12-29T16:58:20.000Z","2026-05-01T16:19:03.000Z","(480) 337-4020","trivita.com","16100 Greenway Hayden Loop Suite 950","Scottsdale","AZ","85260","United States","4000000.0","130",""
